Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
595,10.80562,9.660955,15.8377161,14.34957504,8.667821884,8.113643646,10.80562
596.0200195,9.852753,9.131869,15.30350208,13.37114429,8.4360466,7.613652229,9.852753
597.0499878,9.892664,9.407644,15.08492851,12.95119381,8.107860565,7.109222412,9.892664
597.9400024,9.729153,8.859923,14.34011269,12.4169836,7.86614418,7.343695641,9.729153
598.9699707,9.416839,8.653481,13.9399395,11.90386486,7.35792923,7.237361431,9.416839
600,9.046322,8.191075,13.77922916,11.58736324,7.441259861,7.271074772,9.046322
601.0200195,8.492007,8.067303,13.01541805,11.2571764,7.519695759,6.743040562,8.492007
602.0499878,8.023609,7.473999,12.90627289,11.07755756,7.092478275,6.509527206,8.023609
602.9400024,7.934776,7.469598,12.33363342,10.88496971,6.786396027,6.258948803,7.934776
603.9699707,7.637752,7.294142,12.34790993,10.8334341,6.988330841,6.065869808,7.637752
605,7.662248,7.07415,11.53307819,9.827260017,6.753042698,6.001621723,7.662248
606.0200195,7.350008,6.560534,10.90096378,9.579878807,6.464970112,6.002400875,7.350008
607.0499878,6.873584,6.111136,10.76145172,9.276244164,5.880544662,5.735958576,6.873584
607.9400024,6.662751,5.842744,10.82260895,9.107113838,6.24156332,5.468161583,6.662751
608.9699707,6.449617,5.439343,10.50347328,8.939167976,5.822814465,5.398766518,6.449617
610,6.132083,5.978962,10.58339596,8.349859238,5.792731285,5.258948803,6.132083
611.0100098,6.14266,5.436078,9.924494743,8.385650635,5.570337296,5.064978123,6.14266
612.0200195,5.65982,5.164719,9.511096001,7.832038403,5.356099129,5.020514011,5.65982
613.039978,5.657665,5.003867,9.131524086,7.645580292,5.123814583,4.90444994,5.657665
614.0499878,5.349679,5.274916,8.776815414,7.671192169,5.042016983,4.646593094,5.349679
615.0700073,5.178083,4.96444,8.60195446,7.269293308,5.137664795,4.605618954,5.178083
615.9400024,4.964505,4.732866,8.333587646,7.370716095,5.094064713,4.396307468,4.964505
616.9500122,4.994759,4.474918,7.967572689,6.811968327,4.687479019,4.372378826,4.994759
617.9699707,4.889233,4.211397,7.508699417,6.647588253,4.491725922,4.14773035,4.889233
618.9799805,4.714598,4.215478,7.316372871,6.394221306,4.355492592,4.394360542,4.714598
620,4.507505,4.067184,7.536781311,6.337478161,4.538999557,4.129451275,4.507505
621.0200195,4.271725,3.615812,7.342588425,5.808927059,4.1495471,3.762166739,4.271725
622.0499878,4.438349,3.873087,7.259005547,6.118644714,4.210581779,3.728822708,4.438349
622.9400024,4.160175,3.526179,6.737071991,5.634309292,4.10436821,3.481808901,4.160175
623.9699707,3.893162,3.474102,6.370489597,5.698479176,3.927625179,3.537925482,3.893162
625,3.570012,3.488109,6.528452873,5.514510155,3.82273078,3.384305239,3.570012
626.0200195,3.300735,3.391721,5.926350594,5.131255627,3.620419264,3.072633266,3.300735
627.0499878,3.071916,3.251911,5.999401569,5.061199665,3.665167332,3.397355318,3.071916
627.9400024,3.150184,3.331747,5.839743137,4.730340481,3.50886631,3.213290691,3.150184
628.9699707,3.229914,2.86318,5.669521809,4.588253021,3.215774536,3.127432823,3.229914
630,2.751704,2.812495,5.277915478,4.396230698,3.315293789,3.189856529,2.751704
631.0100098,3.023739,2.572103,5.335988998,4.543881416,3.175249338,2.974880219,3.023739
632.0200195,2.831118,2.687401,5.164446831,4.28233242,2.963218927,2.831839561,2.831118
633.039978,2.58088,2.383302,4.728815556,4.212147236,3.089417696,3.047272682,2.58088
634.0499878,2.744028,2.303554,4.859101295,3.892535686,3.164384365,2.601661205,2.744028
635.0700073,2.707281,2.419576,4.726606846,3.655734301,2.929929495,2.674371719,2.707281
635.9400024,2.457447,2.218482,4.307229042,3.425228357,2.761869907,2.556625366,2.457447
636.9500122,2.358238,2.37736,4.151758194,3.437935352,2.661837101,2.346310139,2.358238
637.9699707,2.093752,2.301143,4.332626343,3.306938648,2.796025991,2.351076126,2.093752
638.9799805,2.375944,1.918532,4.004836082,3.318000078,2.74501276,2.480198383,2.375944
640,2.172559,1.854554,4.117957592,3.239073753,2.483014584,2.318215609,2.172559
641.0100098,1.948959,1.848513,3.870336294,3.311208487,2.505111694,2.4261868,1.948959
642.0200195,1.891522,1.821578,3.355352879,3.05791688,2.477526188,2.273688555,1.891522
643.039978,2.057898,1.689501,3.661403179,2.843572855,2.354714155,2.123879671,2.057898
644.0499878,1.819247,1.776693,3.589612722,2.865155697,2.383118868,2.10167861,1.819247
645.0700073,1.852844,1.699044,3.386141062,2.678678274,2.197772264,2.107144356,1.852844
645.9400024,1.71899,1.624708,3.248843431,3.035174847,2.383838892,1.78943038,1.71899
646.9500122,1.504971,1.600967,3.380315542,2.654745817,2.203856945,1.874872565,1.504971
647.9699707,1.651048,1.506001,3.180968523,2.550019741,1.967339277,1.825772882,1.651048
648.9799805,1.617899,1.442804,3.015120506,2.241545439,2.001704216,1.8481071,1.617899
650,1.566724,1.470656,3.257976532,2.307960987,1.82777667,1.852498174,1.566724
