Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
410,392.6079407,343.7358398,332.067749,323.8515625,317.1421814,315.5638123,305.5267029,276.2184143,270.0198364,263.2832031,255.9147797
411.0700073,427.4776001,377.0673523,360.5816956,353.8586731,345.2300415,339.911377,332.2141418,300.5906372,292.7341003,286.3576355,274.7335815
412,456.7748718,399.076355,385.182312,376.6287231,367.4461365,366.6791992,351.6931152,317.9115601,308.0478516,304.8106689,293.0328674
413.0700073,491.4412842,430.5271301,416.3972778,402.5831604,397.0598755,392.0433655,381.3266907,343.0532227,333.7825623,329.3170166,313.4714355
414,526.7921753,460.5621033,443.3790894,433.9390869,423.9335938,420.1485901,404.5063782,363.6970215,355.7584839,351.9987488,338.0886536
415.0700073,557.8421021,491.4004822,474.1913452,460.909668,450.4655151,450.8819885,429.5258484,387.5214844,379.5259094,371.5945435,359.1908569
416,588.6976929,516.8214111,496.6026001,483.7742615,473.0931396,470.6749878,454.7008057,407.733551,396.6005249,391.9754944,377.8620911
417.0700073,618.8639526,540.7053833,521.9862061,509.1146851,498.2279663,496.0435791,478.5054321,428.7175293,417.8868408,413.8890076,396.2755432
418,646.5912476,568.8894653,544.84198,531.4216309,522.437439,516.4249268,500.2290039,448.7875671,440.2896423,432.9644775,416.8244019
419.0700073,683.9840698,599.2199707,575.0491333,559.9573975,545.2351074,546.0467529,525.6538086,471.0835266,463.2149353,453.5101929,437.1860046
420,704.8670654,619.0030518,599.0551758,582.7984009,568.7559814,568.0200195,547.6364746,490.1919861,479.9498291,474.4477844,453.7888489
421.0599976,734.9074097,645.133667,621.2370605,605.1658325,591.1280518,588.9526367,563.9233398,511.0357971,501.3270874,493.425354,472.3676453
421.9599915,755.9822388,662.3964844,642.0405273,625.6443481,609.8231812,608.8140259,584.1030273,527.5366821,518.2808228,509.7410583,487.3328552
423.0299988,780.1144409,687.390564,662.9163818,648.1628418,633.1266479,627.5546875,607.0507813,546.904541,537.690979,524.5864258,507.53302
423.9299927,804.5404663,707.2016602,684.2788696,667.5250244,653.2874146,650.1481323,623.5791626,563.1447754,554.1265869,545.9379272,524.3088989
425,828.84375,732.2493286,704.8500366,691.458252,670.2497559,667.8225098,644.0668945,581.7921753,569.7139282,558.1903076,539.6560669
426.0599976,846.9226685,747.4705811,721.5391846,707.6549683,686.175415,685.3734131,662.260376,594.7667847,582.5404663,572.5803833,552.2680054
426.9599915,860.7286377,761.6712646,732.6812744,716.8009033,701.1063843,696.1871948,674.2936401,603.0088501,594.2470703,585.5668335,563.503418
428.0299988,880.0905151,781.8296509,748.527771,731.475769,717.2098389,711.7161255,684.3687134,619.8516846,607.3572998,595.8016968,575.3512573
428.9299927,894.6942139,790.2576904,763.8720703,743.5639648,729.7834473,723.0077515,700.2567139,633.8421631,618.5112305,606.4354858,586.6138916
430,909.2400513,809.0057373,774.9538574,760.7661743,745.2200928,737.3859863,712.8342285,643.3741455,633.1810913,622.9849854,599.5819702
431.0700073,920.9428101,821.4682617,788.8527832,771.9129028,750.2681885,747.6516724,723.3756714,654.3617554,640.8977051,630.3540039,605.9718628
432,933.6110229,826.1738281,796.8737183,779.5569458,758.8529053,753.9679565,729.8529053,660.7821045,648.1699219,637.4962158,616.9619751
433.0700073,941.9562378,834.2313843,804.5410767,787.4970093,769.1442261,764.2051392,737.0142212,670.3104248,658.2137451,645.170105,621.9328613
434,948.9489746,844.2330322,809.6387939,794.9161987,775.7546387,773.2055664,745.5031128,675.7648926,660.2844238,650.9265137,628.6523438
435.0700073,960.8935547,850.6283569,812.3125,801.1191406,785.0970459,778.8812256,752.5820923,691.1740723,669.3256226,656.9352417,635.7676392
436,962.1087036,853.5449829,821.9397583,807.6415405,789.7158813,781.8032837,760.6964722,684.4680176,672.1239014,659.4274902,637.2322998
437.0700073,973.1221924,862.1252441,824.8134766,814.241394,793.6002808,789.312439,764.9078369,691.1201172,675.8569336,665.2376709,644.260498
438,968.7710571,864.781189,830.4953613,814.5491943,800.0516968,793.369812,766.4179688,689.3583984,682.0926514,674.0322876,650.1923218
439.0700073,973.6293945,865.7686157,829.2140503,816.3361206,800.803833,794.3421021,772.3859253,698.6425781,681.4615479,676.2632446,648.6762085
440,977.5732422,869.1328735,834.3818359,823.2713623,802.5408325,797.765564,773.9055786,701.0460205,687.920105,680.822937,650.8343506
441.0599976,977.7538452,875.8170776,839.3256836,826.6960449,804.6256104,799.4129639,778.159729,704.3484497,689.5238647,678.2608643,654.6517334
441.9599915,977.3659668,873.6385498,839.6282349,823.1616821,805.5500488,801.3676758,776.6828613,704.0018311,688.8287354,681.4663696,653.4865112
443.0299988,979.3721924,876.1809692,833.4700317,824.5305176,807.1622314,807.8436279,779.5639648,704.2150879,691.9368286,682.6878052,656.539917
