Loading Index,Batch B,Batch C,Batch D,Batch E
156,0.06702970094387016,0.06060670534891417,0.06936347941749399,0.06636730959035422
157,0.06639103321715852,0.060637828476897845,0.0690022188308283,0.06605964180166016
158,0.06574918367216112,0.06061167959365511,0.0688282437490273,0.06576840530358738
159,0.06529997202834921,0.060641561700403135,0.06860576147781605,0.06557137701752422
160,0.06474751182099849,0.06062150188405215,0.06823137860492615,0.06516483304778489
161,0.06408163405113133,0.06062348780074494,0.06784953785886724,0.06468539848055593
162,0.06360243477392306,0.06064630493789056,0.06756378267847171,0.06426758476971006
163,0.062763252042764,0.060652127833108235,0.06715289973038949,0.06404767753437782
164,0.06202413939647831,0.060669008442658295,0.06674625796881073,0.06362630466466232
165,0.06156269144764051,0.060671826434636235,0.06627095879836843,0.06277976666956785
166,0.06061990013101213,0.06063624384982137,0.06607640709256454,0.06267746979920827
167,0.05956493669601488,0.06064425941994519,0.06544404546378978,0.062054836784539165
168,0.05865395734678053,0.06066748186076605,0.06507984101616202,0.061258465861150566
169,0.05835096571595167,0.060695454578684506,0.06450107817931697,0.060742614371534484
170,0.05655369045482594,0.06069496534650968,0.06391152495019443,0.060150938712750145
171,0.05591218888198714,0.06069404024478782,0.06307520386573082,0.05937733903133952
172,0.05451051423588519,0.06068891920714378,0.0626807360627565,0.058986767946544665
173,0.05380184224292275,0.060677534972414106,0.06216869681144141,0.05822459241951656
174,0.05194567530338499,0.06067610187989797,0.061186427815785975,0.05702792481850647
175,0.051078720230037344,0.06069306106446951,0.06044989587053882,0.056025889526917616
176,0.04962941330560599,0.060696551179191184,0.05964791298887565,0.054929963455999375
177,0.04778942021430456,0.06070760486095222,0.05773831876039359,0.05389237163938142
178,0.046281983770735384,0.06067745038563936,0.057128411341174946,0.05256379589022947
179,0.045288115795624535,0.060698380740212325,0.056476875534954375,0.05090029652833223
180,0.04385167031545508,0.060719776016674346,0.05560022975422629,0.05100715384797657
181,0.04150294971992599,0.06069773706168247,0.053716196825861616,0.048918130697503
182,0.04018133289063752,0.06072107624972306,0.052998612580028824,0.04780424353902197
183,0.038830902427106774,0.0606949055018767,0.05142475398099904,0.046711982236779095
184,0.03613157025052901,0.06070780573255578,0.04970656314634777,0.04467343936382129
185,0.03363800088904877,0.06064619052946719,0.047150082641127564,0.04269802430346376
